dataset,metric,type,value,layer,temperature
obqa,ACC,temp_sampling,0.7179999947547913,31.0,0.5
obqa,NLL,temp_sampling,0.6617874503135681,31.0,0.5
obqa,ECE,temp_sampling,0.04023484140634537,31.0,0.5
obqa,MCE,temp_sampling,0.11444389820098877,31.0,0.5
obqa,ACC,temp_sampling,0.734000027179718,25.0,0.5
obqa,NLL,temp_sampling,0.6714895367622375,25.0,0.5
obqa,ECE,temp_sampling,0.05531737953424454,25.0,0.5
obqa,MCE,temp_sampling,0.29231131076812744,25.0,0.5
sciq,ACC,temp_sampling,0.8859999775886536,22.0,1.0
sciq,NLL,temp_sampling,0.31090211868286133,22.0,1.0
sciq,ECE,temp_sampling,0.035413116216659546,22.0,1.0
sciq,MCE,temp_sampling,0.33965516090393066,22.0,1.0
medmcqa_med,ACC,temp_sampling,0.46000000834465027,28.0,0.7
medmcqa_med,NLL,temp_sampling,1.2036982774734497,28.0,0.7
medmcqa_med,ECE,temp_sampling,0.036455027759075165,28.0,0.7
medmcqa_med,MCE,temp_sampling,0.18335109949111938,28.0,0.7
medmcqa_med,ACC,temp_sampling,0.48399999737739563,23.0,0.1
medmcqa_med,NLL,temp_sampling,1.176978588104248,23.0,0.1
medmcqa_med,ECE,temp_sampling,0.05733036249876022,23.0,0.1
medmcqa_med,MCE,temp_sampling,0.1601879894733429,23.0,0.1
medmcqa_med,ACC,temp_sampling,0.4779999852180481,26.0,0.5
medmcqa_med,NLL,temp_sampling,1.1800233125686646,26.0,0.5
medmcqa_med,ECE,temp_sampling,0.04643920809030533,26.0,0.5
medmcqa_med,MCE,temp_sampling,0.12379211187362671,26.0,0.5
sciq,ACC,temp_sampling,0.878000020980835,31.0,0.7
sciq,NLL,temp_sampling,0.3004312217235565,31.0,0.7
sciq,ECE,temp_sampling,0.03183047100901604,31.0,0.7
sciq,MCE,temp_sampling,0.3230080306529999,31.0,0.7
sciq,ACC,temp_sampling,0.8820000290870667,25.0,0.7
sciq,NLL,temp_sampling,0.3101118803024292,25.0,0.7
sciq,ECE,temp_sampling,0.024978427216410637,25.0,0.7
sciq,MCE,temp_sampling,0.3624502718448639,25.0,0.7
obqa,ACC,temp_sampling,0.7419999837875366,30.0,0.5
obqa,NLL,temp_sampling,0.6487318873405457,30.0,0.5
obqa,ECE,temp_sampling,0.0293258223682642,30.0,0.5
obqa,MCE,temp_sampling,0.2901579737663269,30.0,0.5
obqa,ACC,temp_sampling,0.7360000014305115,24.0,0.5
obqa,NLL,temp_sampling,0.6741471886634827,24.0,0.5
obqa,ECE,temp_sampling,0.0499768927693367,24.0,0.5
obqa,MCE,temp_sampling,0.7057985663414001,24.0,0.5
sciq,ACC,temp_sampling,0.8740000128746033,23.0,1.0
sciq,NLL,temp_sampling,0.3043287396430969,23.0,1.0
sciq,ECE,temp_sampling,0.02656392753124237,23.0,1.0
sciq,MCE,temp_sampling,0.29490941762924194,23.0,1.0
medmcqa_med,ACC,temp_sampling,0.47600001096725464,29.0,0.7
medmcqa_med,NLL,temp_sampling,1.177463173866272,29.0,0.7
medmcqa_med,ECE,temp_sampling,0.0297640822827816,29.0,0.7
medmcqa_med,MCE,temp_sampling,0.10607630014419556,29.0,0.7
medmcqa_med,ACC,temp_sampling,0.4860000014305115,22.0,0.1
medmcqa_med,NLL,temp_sampling,1.17750084400177,22.0,0.1
medmcqa_med,ECE,temp_sampling,0.0406978540122509,22.0,0.1
medmcqa_med,MCE,temp_sampling,0.09744250774383545,22.0,0.1
medmcqa_med,ACC,temp_sampling,0.49799999594688416,27.0,0.5
medmcqa_med,NLL,temp_sampling,1.1778069734573364,27.0,0.5
medmcqa_med,ECE,temp_sampling,0.05519077554345131,27.0,0.5
medmcqa_med,MCE,temp_sampling,0.10452944040298462,27.0,0.5
sciq,ACC,temp_sampling,0.8880000114440918,30.0,0.7
sciq,NLL,temp_sampling,0.296905517578125,30.0,0.7
sciq,ECE,temp_sampling,0.01913735456764698,30.0,0.7
sciq,MCE,temp_sampling,0.12949728965759277,30.0,0.7
sciq,ACC,temp_sampling,0.8859999775886536,24.0,0.7
sciq,NLL,temp_sampling,0.29640498757362366,24.0,0.7
sciq,ECE,temp_sampling,0.01885528676211834,24.0,0.7
sciq,MCE,temp_sampling,0.34907087683677673,24.0,0.7
obqa,ACC,temp_sampling,0.7379999756813049,24.0,0.1
obqa,NLL,temp_sampling,0.6709023118019104,24.0,0.1
obqa,ECE,temp_sampling,0.04158293455839157,24.0,0.1
obqa,MCE,temp_sampling,0.11956626176834106,24.0,0.1
sciq,ACC,temp_sampling,0.8880000114440918,26.0,1.0
sciq,NLL,temp_sampling,0.29629090428352356,26.0,1.0
sciq,ECE,temp_sampling,0.013470693491399288,26.0,1.0
sciq,MCE,temp_sampling,0.3254789412021637,26.0,1.0
medmcqa_med,ACC,temp_sampling,0.47999998927116394,29.0,0.3
medmcqa_med,NLL,temp_sampling,1.1773899793624878,29.0,0.3
medmcqa_med,ECE,temp_sampling,0.030576344579458237,29.0,0.3
medmcqa_med,MCE,temp_sampling,0.1231374740600586,29.0,0.3
obqa,ACC,temp_sampling,0.7379999756813049,30.0,0.1
obqa,NLL,temp_sampling,0.6510075330734253,30.0,0.1
obqa,ECE,temp_sampling,0.027094870805740356,30.0,0.1
obqa,MCE,temp_sampling,0.29305681586265564,30.0,0.1
obqa,ACC,temp_sampling,0.7400000095367432,28.0,1.0
obqa,NLL,temp_sampling,0.6527580618858337,28.0,1.0
obqa,ECE,temp_sampling,0.0343896709382534,28.0,1.0
obqa,MCE,temp_sampling,0.28360843658447266,28.0,1.0
sciq,ACC,temp_sampling,0.8880000114440918,24.0,0.3
sciq,NLL,temp_sampling,0.29762524366378784,24.0,0.3
sciq,ECE,temp_sampling,0.017254237085580826,24.0,0.3
sciq,MCE,temp_sampling,0.3456123173236847,24.0,0.3
medmcqa_med,ACC,temp_sampling,0.49399998784065247,27.0,0.1
medmcqa_med,NLL,temp_sampling,1.175709843635559,27.0,0.1
medmcqa_med,ECE,temp_sampling,0.05890584737062454,27.0,0.1
medmcqa_med,MCE,temp_sampling,0.104084312915802,27.0,0.1
medmcqa_med,ACC,temp_sampling,0.4959999918937683,22.0,0.5
medmcqa_med,NLL,temp_sampling,1.1804382801055908,22.0,0.5
medmcqa_med,ECE,temp_sampling,0.0455637201666832,22.0,0.5
medmcqa_med,MCE,temp_sampling,0.09665858745574951,22.0,0.5
sciq,ACC,temp_sampling,0.8840000033378601,30.0,0.3
sciq,NLL,temp_sampling,0.2960934042930603,30.0,0.3
sciq,ECE,temp_sampling,0.020614655688405037,30.0,0.3
sciq,MCE,temp_sampling,0.3754376173019409,30.0,0.3
medmcqa_med,ACC,temp_sampling,0.4819999933242798,28.0,0.1
medmcqa_med,NLL,temp_sampling,1.18919837474823,28.0,0.1
medmcqa_med,ECE,temp_sampling,0.04647819325327873,28.0,0.1
medmcqa_med,MCE,temp_sampling,0.15433990955352783,28.0,0.1
medmcqa_med,ACC,temp_sampling,0.47600001096725464,30.0,1.0
medmcqa_med,NLL,temp_sampling,1.1766732931137085,30.0,1.0
medmcqa_med,ECE,temp_sampling,0.03690569847822189,30.0,1.0
medmcqa_med,MCE,temp_sampling,0.07774698734283447,30.0,1.0
medmcqa_med,ACC,temp_sampling,0.492000013589859,24.0,1.0
medmcqa_med,NLL,temp_sampling,1.185180902481079,24.0,1.0
medmcqa_med,ECE,temp_sampling,0.04333453252911568,24.0,1.0
medmcqa_med,MCE,temp_sampling,0.11601854860782623,24.0,1.0
obqa,ACC,temp_sampling,0.7300000190734863,31.0,0.3
obqa,NLL,temp_sampling,0.6571394205093384,31.0,0.3
obqa,ECE,temp_sampling,0.029353855177760124,31.0,0.3
obqa,MCE,temp_sampling,0.14729422330856323,31.0,0.3
sciq,ACC,temp_sampling,0.8840000033378601,25.0,0.1
sciq,NLL,temp_sampling,0.305387020111084,25.0,0.1
sciq,ECE,temp_sampling,0.028802912682294846,25.0,0.1
sciq,MCE,temp_sampling,0.2781403064727783,25.0,0.1
obqa,ACC,temp_sampling,0.7300000190734863,27.0,1.0
obqa,NLL,temp_sampling,0.6873399615287781,27.0,1.0
obqa,ECE,temp_sampling,0.05215364322066307,27.0,1.0
obqa,MCE,temp_sampling,0.701059103012085,27.0,1.0
sciq,ACC,temp_sampling,0.8820000290870667,29.0,1.0
sciq,NLL,temp_sampling,0.29710569977760315,29.0,1.0
sciq,ECE,temp_sampling,0.02884797751903534,29.0,1.0
sciq,MCE,temp_sampling,0.2725692689418793,29.0,1.0
sciq,ACC,temp_sampling,0.878000020980835,31.0,0.1
sciq,NLL,temp_sampling,0.29890820384025574,31.0,0.1
sciq,ECE,temp_sampling,0.023083163425326347,31.0,0.1
sciq,MCE,temp_sampling,0.331890732049942,31.0,0.1
medmcqa_med,ACC,temp_sampling,0.47200000286102295,26.0,0.3
medmcqa_med,NLL,temp_sampling,1.1799516677856445,26.0,0.3
medmcqa_med,ECE,temp_sampling,0.0410405658185482,26.0,0.3
medmcqa_med,MCE,temp_sampling,0.13421630859375,26.0,0.3
medmcqa_med,ACC,temp_sampling,0.4699999988079071,23.0,0.7
medmcqa_med,NLL,temp_sampling,1.1796780824661255,23.0,0.7
medmcqa_med,ECE,temp_sampling,0.02982245571911335,23.0,0.7
medmcqa_med,MCE,temp_sampling,0.11599598824977875,23.0,0.7
obqa,ACC,temp_sampling,0.7279999852180481,31.0,0.7
obqa,NLL,temp_sampling,0.661778450012207,31.0,0.7
obqa,ECE,temp_sampling,0.04085425287485123,31.0,0.7
obqa,MCE,temp_sampling,0.15164560079574585,31.0,0.7
medmcqa_med,ACC,temp_sampling,0.47999998927116394,28.0,0.5
